,PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,1,FELONY POSSESSION STOLEN PROPERTY            ,13.0,14.0,8.0,7.0,4.0,6.0,3.0,13.0,17.0,13.0,17.0,15.0,12.0,10.0,31.0,13.0
1,1,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,119.0,97.0,89.0,141.0,250.0,152.0,136.0,161.0,213.0,211.0,197.0,169.0,183.0,111.0,142.0,138.0
2,1,ARSON                                 ,16.0,7.0,4.0,7.0,6.0,6.0,9.0,5.0,6.0,9.0,5.0,3.0,3.0,3.0,9.0,1.0
3,1,FELONY SEX CRIMES (3),8.0,4.0,5.0,11.0,2.0,9.0,7.0,5.0,4.0,7.0,7.0,13.0,12.0,14.0,7.0,13.0
4,1,FELONY DANGEROUS DRUGS  (1),51.0,34.0,38.0,38.0,42.0,39.0,29.0,29.0,30.0,33.0,21.0,29.0,28.0,37.0,33.0,18.0
5,1,FELONY DANGEROUS WEAPONS (2)        ,1.0,4.0,2.0,5.0,4.0,4.0,5.0,10.0,22.0,22.0,18.0,23.0,23.0,23.0,21.0,21.0
6,1,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,162.0,333.0,247.0,82.0,94.0,81.0,60.0,51.0,41.0,40.0,44.0,78.0,74.0,66.0,61.0,68.0
7,1,OTHER FELONIES (4),61.0,62.0,70.0,94.0,72.0,57.0,63.0,79.0,77.0,73.0,49.0,48.0,48.0,46.0,49.0,70.0
8,1,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,431.0,555.0,463.0,385.0,474.0,354.0,312.0,353.0,410.0,408.0,358.0,378.0,383.0,310.0,353.0,342.0
9,5,FELONY POSSESSION STOLEN PROPERTY            ,7.0,19.0,10.0,5.0,5.0,6.0,15.0,6.0,5.0,10.0,14.0,5.0,10.0,5.0,8.0,4.0
10,5,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,78.0,82.0,117.0,189.0,183.0,207.0,236.0,222.0,137.0,159.0,155.0,85.0,99.0,80.0,69.0,72.0
11,5,ARSON                                 ,20.0,19.0,6.0,11.0,7.0,10.0,1.0,4.0,15.0,13.0,6.0,6.0,12.0,13.0,10.0,8.0
12,5,FELONY SEX CRIMES (3),9.0,10.0,1.0,4.0,14.0,7.0,4.0,5.0,6.0,6.0,7.0,8.0,8.0,8.0,14.0,15.0
13,5,FELONY DANGEROUS DRUGS  (1),304.0,299.0,280.0,191.0,228.0,229.0,245.0,240.0,270.0,235.0,208.0,193.0,151.0,139.0,148.0,138.0
14,5,FELONY DANGEROUS WEAPONS (2)        ,14.0,12.0,9.0,9.0,11.0,18.0,31.0,25.0,33.0,22.0,19.0,18.0,14.0,20.0,17.0,21.0
15,5,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,77.0,118.0,87.0,54.0,51.0,66.0,87.0,75.0,97.0,54.0,59.0,55.0,59.0,46.0,54.0,58.0
16,5,OTHER FELONIES (4),93.0,89.0,74.0,68.0,80.0,91.0,122.0,138.0,133.0,83.0,88.0,117.0,114.0,103.0,49.0,173.0
17,5,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,602.0,648.0,584.0,531.0,579.0,634.0,741.0,715.0,696.0,582.0,556.0,487.0,467.0,414.0,369.0,489.0
