datestop,False,True, ,Count,Success_Rate
2003-01-01,243.0,30.0,,273.0,0.10989010989
2003-01-02,370.0,50.0,,420.0,0.119047619048
2003-01-03,401.0,55.0,,456.0,0.120614035088
2003-01-04,374.0,37.0,,411.0,0.0900243309002
2003-01-05,272.0,19.0,,291.0,0.0652920962199
2003-01-06,280.0,37.0,,317.0,0.116719242902
2003-01-07,429.0,51.0,,480.0,0.10625
2003-01-08,573.0,56.0,,629.0,0.0890302066773
2003-01-09,689.0,63.0,,752.0,0.0837765957447
2003-01-10,666.0,58.0,,724.0,0.0801104972376
2003-01-11,394.0,31.0,,425.0,0.0729411764706
2003-01-12,313.0,31.0,,344.0,0.0901162790698
2003-01-13,361.0,25.0,,386.0,0.0647668393782
2003-01-14,529.0,45.0,,574.0,0.0783972125436
2003-01-15,538.0,50.0,,588.0,0.0850340136054
2003-01-16,521.0,56.0,,577.0,0.0970537261698
2003-01-17,508.0,41.0,,549.0,0.0746812386157
2003-01-18,353.0,44.0,,397.0,0.110831234257
2003-01-19,338.0,23.0,,361.0,0.0637119113573
2003-01-20,281.0,23.0,,304.0,0.0756578947368
2003-01-21,462.0,53.0,,515.0,0.102912621359
2003-01-22,405.0,59.0,,464.0,0.127155172414
2003-01-23,391.0,46.0,,437.0,0.105263157895
2003-01-24,424.0,41.0,,465.0,0.0881720430108
2003-01-25,352.0,27.0,,379.0,0.0712401055409
2003-01-26,198.0,16.0,,214.0,0.0747663551402
2003-01-27,195.0,25.0,,220.0,0.113636363636
2003-01-28,421.0,46.0,,467.0,0.0985010706638
2003-01-29,516.0,61.0,,577.0,0.105719237435
2003-01-30,605.0,51.0,,656.0,0.077743902439
2003-01-31,421.0,48.0,,469.0,0.102345415778
2003-02-01,420.0,31.0,,451.0,0.0687361419069
2003-02-02,295.0,38.0,,333.0,0.114114114114
2003-02-03,355.0,20.0,,375.0,0.0533333333333
2003-02-04,446.0,44.0,,490.0,0.0897959183673
2003-02-05,443.0,62.0,,505.0,0.122772277228
2003-02-06,425.0,33.0,,458.0,0.0720524017467
2003-02-07,395.0,55.0,,450.0,0.122222222222
2003-02-08,303.0,34.0,,337.0,0.100890207715
2003-02-09,300.0,29.0,,329.0,0.0881458966565
2003-02-10,287.0,25.0,,312.0,0.0801282051282
2003-02-11,452.0,33.0,,485.0,0.0680412371134
2003-02-12,486.0,61.0,,547.0,0.111517367459
2003-02-13,366.0,52.0,,418.0,0.124401913876
2003-02-14,358.0,26.0,,384.0,0.0677083333333
2003-02-15,222.0,28.0,,250.0,0.112
2003-02-16,189.0,19.0,,208.0,0.0913461538462
2003-02-17,97.0,15.0,,112.0,0.133928571429
2003-02-18,210.0,29.0,,239.0,0.121338912134
2003-02-19,381.0,43.0,,424.0,0.10141509434
2003-02-20,414.0,57.0,,471.0,0.12101910828
2003-02-21,363.0,49.0,,412.0,0.118932038835
2003-02-22,301.0,39.0,,340.0,0.114705882353
2003-02-23,278.0,33.0,,311.0,0.106109324759
2003-02-24,348.0,32.0,,380.0,0.0842105263158
2003-02-25,358.0,51.0,,409.0,0.124694376528
2003-02-26,429.0,65.0,,494.0,0.131578947368
2003-02-27,468.0,64.0,,532.0,0.12030075188
2003-02-28,533.0,49.0,,582.0,0.0841924398625
2003-03-01,374.0,32.0,,406.0,0.0788177339901
2003-03-02,267.0,23.0,,290.0,0.0793103448276
2003-03-03,296.0,29.0,,325.0,0.0892307692308
2003-03-04,457.0,57.0,,514.0,0.110894941634
2003-03-05,525.0,39.0,,564.0,0.0691489361702
2003-03-06,313.0,40.0,,353.0,0.113314447592
2003-03-07,406.0,31.0,,437.0,0.070938215103
2003-03-08,407.0,55.0,,462.0,0.119047619048
2003-03-09,281.0,39.0,,320.0,0.121875
2003-03-10,339.0,38.0,,377.0,0.100795755968
2003-03-11,513.0,50.0,,563.0,0.088809946714
2003-03-12,446.0,66.0,,512.0,0.12890625
2003-03-13,475.0,55.0,,530.0,0.103773584906
